#	B_name			P0					P1				Age	Bsurf	Edot		Dpi		Cpi
138   B1753-24    cl86       0.6704799625529         14  hlk+04     2.84740E-16          9  hlk+04     3.73e+07 *        *        	00.18586855	00.03680829	00.24023451
139   B1754-24    kom74      0.234100571494           4  hlk+04     1.291920E-14         3  hlk+04     2.87e+05 *        *        	00.05881310	00.09062649	00.01212065
140   B1756-22    mlt+78     0.460974127869           9  hlk+04     1.087242E-14         9  hlk+04     6.72e+05 *        *        	00.38693188	00.03658956	00.07651137
141   B1758-03    stwd85     0.92140067377            4  hlk+04     3.3101E-15           3  hlk+04     4.41e+06 *        *        	00.56474357	00.00730959	00.27511934
142   B1758-23    mdt85      0.4158270895435         18  ywml10     1.1293023E-13       11  ywml10     5.83e+04 *        *        	00.17307364	00.05000000	00.06405834
143   B1758-29    jlm+92     1.081908474227           6  hlk+04     3.29310E-15          9  hlk+04     5.21e+06 *        *        	00.22218472	00.00914329	00.08318275
144   B1800-21    cl86       0.13366692025028        17  ywml10     1.34359375E-13      17  ywml10     1.58e+04 4.29e+12 2.22e+36 	00.14301301	00.06163237	00.05951678
145   B1802-07    dbl+93     0.02310085584300         3  hlk+04     4.671E-19            3  hlk+04     7.84e+08 *        *        	00.20847714	00.02316328	00.03247248
146   B1802+03    stwd85     0.2187115654904         15  hlk+04     9.99455E-16          7  hlk+04     3.47e+06 *        *        	00.15957414	00.02486741	00.05672796
147   B1804-08    mlt+78     0.13727376663677         9  hlk+04     2.87993E-17          4  hlk+04     9.01e+07 6.95e+10 2.59e+32 	00.18223562	00.09285757	00.05150935
148   B1804-27    mlt+78     0.827776461518           9  hlk+04     1.217251E-14         7  hlk+04     1.08e+06 *        *        	00.20468855	00.03700262	00.04802823
149   B1805-20    cl86       0.918410326286          11  hlk+04     1.707608E-14         9  hlk+04     8.52e+05 *        *        	00.31447612	00.07088560	00.14182396
150   B1806-21    cjlm87     0.702413629135           4  hlk+04     3.82187E-15          3  hlk+04     2.91e+06 *        *        	00.40021239	00.03499273	00.17257379
151   B1810+02    stwd85     0.793902802035           3  hlk+04     3.59963E-15          3  hlk+04     3.49e+06 *        *        	00.13676831	00.02505993	00.07172939
152   B1809-173   cl86       1.20534444137            9  ywml10     1.9077E-14          15  ywml10     1e+06    *        *        	00.31208011	00.07362395	00.07247547
153   B1809-176   cjlm87     0.538340543302           9  hlk+04     9.8245E-16           5  hlk+04     8.68e+06 *        *        	00.06610615	00.02033370	00.05222402
154   B1811+40    dth78      0.931089084936           3  hlk+04     2.54871E-15          3  hlk+04     5.79e+06 *        *        	00.24439214	00.00553655	00.08984277
155   B1813-17    clj+92     0.78233335990            4  hlk+04     7.2621E-15           3  hlk+04     1.71e+06 *        *        	00.07161411	00.03939514	00.02574523
156   B1813-26    lvw69a     0.592885130439           3  hlk+04     6.6411E-17          15  hlk+04     1.41e+08 *        *        	00.27217759	00.03900192	00.03351439
157   B1815-14    cl86       0.2914894606391          4  ywml10     2.035737E-15        17  ywml10     2.27e+06 *        *        	00.08661428	00.03725269	00.06129448
158   B1818-04    vlw69      0.598075929665          15  hlk+04     6.33137E-15          4  hlk+04     1.5e+06  1.97e+12 1.17e+33 	00.19953839	00.02160752	00.05341728
159   B1817-13    cl86       0.921459731325           5  hlk+04     4.49522E-15          4  hlk+04     3.25e+06 *        *        	00.22219379	00.02188907	00.11161935
160   B1817-18    jlm+92     0.3099045934277          9  hlk+04     9.3609E-17           6  hlk+04     5.25e+07 *        *        	00.17091546	00.02454397	00.03164474
161   B1820-14    cl86       0.214771109789           6  hlk+04     9.0689E-16           5  hlk+04     3.75e+06 *        *        	00.44632416	00.01307041	00.07780281
162   B1819-22    dls72      1.874268518252           6  hlk+04     1.35439E-15          4  hlk+04     2.19e+07 *        *        	00.14815586	00.02569004	00.07385565
163   B1821+05    mlt+78     0.7529065430494         10  hlk+04     2.26734E-16          9  hlk+04     5.26e+07 4.18e+11 2.10e+31 	00.09409947	00.00233357	00.04069494
164   B1820-11    cl86       0.279828696565           5  hlk+04     1.37862E-15          4  hlk+04     3.22e+06 *        *        	00.21440632	00.07467238	00.04567891
165   B1820-31    mlt+78     0.284054344967           5  hlk+04     2.92704E-15          4  hlk+04     1.54e+06 *        *        	00.29497816	00.01647240	00.04930753
166   B1821-11    cl86       0.435759033311          18  hlk+04     3.55447E-15         14  hlk+04     1.94e+06 *        *        	00.11097235	00.02712970	00.03957675
167   B1821-19    mlt+78     0.189334989945          15  hlk+04     5.23126E-15         11  hlk+04     5.73e+05 1.01e+12 3.03e+34 	00.85026629	00.01185028	00.37047211
168   B1822+00    dtws85     0.778949400076           5  hlk+04     8.7616E-16           5  hlk+04     1.41e+07 *        *        	00.09889925	00.04306166	00.04235250
169   B1822-14    cl86       0.279186875177           5  hlk+04     2.267839E-14         4  hlk+04     1.95e+05 *        *        	00.31261544	00.00646207	00.09815404
170   B1823-11    cl86       2.093136309720          14  hlk+04     4.91034E-15         14  hlk+04     6.75e+06 *        *        	00.18180675	00.01157434	00.04261647
171   B1823-13    cl86       0.1014867942076          3  ywml10     7.5251738E-14       10  ywml10     2.14e+04 2.80e+12 2.84e+36 	00.21235150	00.01500825	00.09950565
172   B1824-10    cl86       0.2457571181423         19  hlk+04     1.002318E-15        11  hlk+04     3.88e+06 *        *        	00.14967355	00.01387124	00.14160652
173   B1826-17    dls72      0.307132975823           5  hlk+04     5.55174E-15          5  hlk+04     8.77e+05 1.31e+12 7.44e+33 	00.22872541	00.01022398	00.03361698
174   B1829-08    cl86       0.64722271838            3  hlk+04     6.38793E-14          3  hlk+04     1.61e+05 6.51e+12 9.30e+33 	00.26558473	00.02259907	00.06277358
175   B1829-10    cl86       0.330354089443           5  hlk+04     4.20203E-15          5  hlk+04     1.25e+06 *        *        	00.19823892	00.06150046	00.10608023
